id,text,cleaned_text,created_at,username,user_id,language,retweet_count,like_count,reply_count,quote_count,impression_count,hashtags,mentions,source,is_retweet,is_reply,in_reply_to_user_id,conversation_id,user_followers_count,user_following_count,user_verified,user_location,possibly_sensitive,sentiment,sentiment_score,subjectivity,emotion,_ingest_timestamp,_source,clean_text,hashtags_array,mentions_array,clean_username,clean_source,clean_user_location,created_at_ts,sentiment_index,emotion_index
4.74851e+18,Coach magazine degree husband around her world enter six. #ThreatIntel ,Coach magazine degree husband around her world enter six.,26-11-2024 12:36,@smitchell,229609408,es,3,3,2,0,55,#ThreatIntel,NaN,Android,False,False,,7.42492e+18,16947,1969,False,NaN,False,neutral,0.0,0.0,neutral,2025-12-11T11:39:14.586Z,twitter_sentiment_dataset.csv,coach magazine degree husband around her world enter six #threatintel,"[""#threatintel""]",[],smitchell,android,NaN,2024-11-26T12:36:00.000Z,0,3
1.56223e+18,Product main couple design around save article finish anyone live try most arm. Bag control organization push dog build three. #Firewall @bethwilliams @barnesbrandy,Product main couple design around save article finish anyone live try most arm. Bag control organization push dog build three.,29-01-2025 00:14,@sarah35,61480746,en,4,12,2,2,60,#Firewall,"@bethwilliams, @barnesbrandy",Twitter for iPhone,True,False,,6.48823e+18,870,1110,False,NaN,False,positive,0.268,0.444,sadness,2025-12-11T11:39:14.586Z,twitter_sentiment_dataset.csv,product main couple design around save article finish anyone live try most arm bag control organization push dog build three #firewall,"[""#firewall""]","[""@bethwilliams"",""@barnesbrandy""]",sarah35,twitter for iphone,NaN,2025-01-29T00:14:00.000Z,1,1
7.6057e+18,Backup systems engaged after phishing. #SOC #Ransomware #Phishing ,Backup systems engaged after phishing.,16-10-2024 00:46,@josephanderson,285301412,en,6,10,2,2,45,"#SOC, #Ransomware, #Phishing",NaN,TweetDeck,False,False,667064667.0,6.1927e+18,4706,574,False,Stephenland,False,neutral,0.0,0.0,surprise,2025-12-11T11:39:14.586Z,twitter_sentiment_dataset.csv,backup systems engaged after phishing #soc #ransomware #phishing,"[""#soc"",""#ransomware"",""#phishing""]",[],josephanderson,tweetdeck,stephenland,2024-10-16T00:46:00.000Z,0,5
8.44418e+18,Hackers bypassed the corporate_site. Leader your you. #SOC #CVE @medinawilliam,Hackers bypassed the corporate_site. Leader your you.,06-01-2025 06:17,@sarahibarra,8499996,en,1,4,1,1,54,"#SOC, #CVE",@medinawilliam,Twitter Web App,False,True,115029002.0,6.10259e+18,4384,1771,False,West Justin,False,neutral,0.0,0.0,surprise,2025-12-11T11:39:14.586Z,twitter_sentiment_dataset.csv,hackers bypassed the corporate site leader your you #soc #cve,"[""#soc"",""#cve""]","[""@medinawilliam""]",sarahibarra,twitter web app,west justin,2025-01-06T06:17:00.000Z,0,5
8.64939e+18,Reviewing email_system logs. Street region particularly would pressure account. #InfoSec @sarah12 @darrell18,Reviewing email_system logs. Street region particularly would pressure account.,06-10-2024 22:57,@josephjacobs,3907155,en,3,6,1,0,51,#InfoSec,"@sarah12, @darrell18",Android,False,True,,9.33727e+18,23043,318,False,Jamesview,False,positive,0.167,0.333,sadness,2025-12-11T11:39:14.586Z,twitter_sentiment_dataset.csv,reviewing email system logs street region particularly would pressure account #infosec,"[""#infosec""]","[""@sarah12"",""@darrell18""]",josephjacobs,android,jamesview,2024-10-06T22:57:00.000Z,1,1
3.30151e+18,Zero breaches this quarter! #Ransomware ,Zero breaches this quarter!,09-01-2025 09:32,@dking,379859538,en,2,6,1,2,39,#Ransomware,NaN,Twitter for iPhone,False,True,858972154.0,2.63302e+18,10333,1310,False,Lake Rodneyview,False,neutral,0.0,0.0,surprise,2025-12-11T11:39:14.586Z,twitter_sentiment_dataset.csv,zero breaches this quarter #ransomware,"[""#ransomware""]",[],dking,twitter for iphone,lake rodneyview,2025-01-09T09:32:00.000Z,0,5
7.46815e+18,About side PM energy scientist necessary. #ThreatIntel #DataBreach #Phishing ,About side PM energy scientist necessary.,27-08-2024 03:49,@hhoffman,936581956,en,5,4,0,0,59,"#ThreatIntel, #DataBreach, #Phishing",NaN,TweetDeck,False,False,,7.08773e+18,742,481,False,Lake Rebeccaside,False,neutral,0.0,1.0,surprise,2025-12-11T11:39:14.586Z,twitter_sentiment_dataset.csv,about side pm energy scientist necessary #threatintel #databreach #phishing,"[""#threatintel"",""#databreach"",""#phishing""]",[],hhoffman,tweetdeck,lake rebeccaside,2024-08-27T03:49:00.000Z,0,5
9.87781e+18,Analyzing brute force attempts. #Phishing ,Analyzing brute force attempts.,27-03-2025 00:27,@davenportbrandi,41178352,en,4,10,3,1,57,#Phishing,NaN,TweetDeck,False,False,965935850.0,2.75317e+18,2726,1341,False,NaN,True,neutral,0.0,0.0,sadness,2025-12-11T11:39:14.586Z,twitter_sentiment_dataset.csv,analyzing brute force attempts #phishing,"[""#phishing""]",[],davenportbrandi,tweetdeck,NaN,2025-03-27T00:27:00.000Z,0,1
9.75182e+18,Involve among half value win always group. #Ransomware @elizabethgomez,Involve among half value win always group.,08-01-2025 17:53,@vdickson,354649587,en,4,2,1,0,58,#Ransomware,@elizabethgomez,TweetDeck,False,False,,2.17402e+18,1231,1269,False,East Michelle,False,positive,0.317,0.283,neutral,2025-12-11T11:39:14.586Z,twitter_sentiment_dataset.csv,involve among half value win always group #ransomware,"[""#ransomware""]","[""@elizabethgomez""]",vdickson,tweetdeck,east michelle,2025-01-08T17:53:00.000Z,1,3
2.93859e+18,Thing agent say forward us soon ten specific. #SOC #CyberSecurity @erik16,Thing agent say forward us soon ten specific.,13-11-2024 00:47,@garrisonjeffrey,622853913,en,3,11,0,2,47,"#SOC, #CyberSecurity",@erik16,Twitter for iPhone,False,False,,2.56513e+18,10661,645,False,Baileybury,False,neutral,0.0,0.062,sadness,2025-12-11T11:39:14.586Z,twitter_sentiment_dataset.csv,thing agent say forward us soon ten specific #soc #cybersecurity,"[""#soc"",""#cybersecurity""]","[""@erik16""]",garrisonjeffrey,twitter for iphone,baileybury,2024-11-13T00:47:00.000Z,0,1
6.63801e+18,Our SOC team responded fast. #CyberSecurity ,Our SOC team responded fast.,22-02-2025 15:16,@andrewlee,78298716,en,4,10,3,1,51,#CyberSecurity,NaN,Android,False,True,,9.23333e+18,1874,707,False,NaN,False,positive,0.2,0.6,joy,2025-12-11T11:39:14.586Z,twitter_sentiment_dataset.csv,our soc team responded fast #cybersecurity,"[""#cybersecurity""]",[],andrewlee,android,NaN,2025-02-22T15:16:00.000Z,1,0
5.28558e+18,Monitoring for potential Credential Stuffing. #ZeroDay ,Monitoring for potential Credential Stuffing.,09-01-2025 13:17,@joshua14,600241462,en,6,11,1,1,44,#ZeroDay,NaN,Android,False,False,,8.94589e+18,9953,1199,False,Darlenefurt,False,neutral,0.0,1.0,neutral,2025-12-11T11:39:14.586Z,twitter_sentiment_dataset.csv,monitoring for potential credential stuffing #zeroday,"[""#zeroday""]",[],joshua14,android,darlenefurt,2025-01-09T13:17:00.000Z,0,3
9.23672e+18,New malware campaign detected. Former agree theory end oil worker although. #Phishing #DataBreach #Phishing @yreed,New malware campaign detected. Former agree theory end oil worker although.,09-12-2024 17:12,@samuel81,148678017,en,1,4,3,0,59,"#Phishing, #DataBreach, #Phishing",@yreed,Twitter Web App,False,False,,2.90771e+18,3309,252,False,Lamborough,False,neutral,0.068,0.227,neutral,2025-12-11T11:39:14.586Z,twitter_sentiment_dataset.csv,new malware campaign detected former agree theory end oil worker although #phishing #databreach #phishing,"[""#phishing"",""#databreach"",""#phishing""]","[""@yreed""]",samuel81,twitter web app,lamborough,2024-12-09T17:12:00.000Z,0,3
7.89462e+18,Monitoring for potential Brute Force. #ThreatIntel #DDoS @bradley60,Monitoring for potential Brute Force.,25-01-2025 18:45,@michaeljones,858951904,en,3,9,1,0,42,"#ThreatIntel, #DDoS",@bradley60,Android,True,False,,7.67939e+18,13033,1721,False,Cindyville,False,neutral,0.0,1.0,sadness,2025-12-11T11:39:14.586Z,twitter_sentiment_dataset.csv,monitoring for potential brute force #threatintel #ddos,"[""#threatintel"",""#ddos""]","[""@bradley60""]",michaeljones,android,cindyville,2025-01-25T18:45:00.000Z,0,1
8.99529e+18,Medical project for recent never court professor here security. #CyberSecurity #InfoSec #MFA @christinaturner,Medical project for recent never court professor here security.,20-11-2024 17:32,@torresjason,54092714,en,2,16,0,1,52,"#CyberSecurity, #InfoSec, #MFA",@christinaturner,TweetDeck,False,False,,4.88825e+18,2510,1172,False,Stevenmouth,True,neutral,0.0,0.125,sadness,2025-12-11T11:39:14.586Z,twitter_sentiment_dataset.csv,medical project for recent never court professor here security #cybersecurity #infosec #mfa,"[""#cybersecurity"",""#infosec"",""#mfa""]","[""@christinaturner""]",torresjason,tweetdeck,stevenmouth,2024-11-20T17:32:00.000Z,0,1
2.40548e+18,We’ve been hit by a sql injection attack. #DataBreach ,We’ve been hit by a sql injection attack.,27-09-2024 17:28,@williamleon,508582316,en,1,10,0,0,56,#DataBreach,NaN,TweetDeck,False,True,,7.62568e+18,19086,144,False,NaN,False,neutral,0.0,0.0,fear,2025-12-11T11:39:14.586Z,twitter_sentiment_dataset.csv,we ve been hit by a sql injection attack #databreach,"[""#databreach""]",[],williamleon,tweetdeck,NaN,2024-09-27T17:28:00.000Z,0,4
6.46114e+18,Probably exist professional people behavior weight dog financial. #DDoS #CVE ,Probably exist professional people behavior weight dog financial.,15-01-2025 03:05,@dylanwilliams,673596394,en,2,8,2,0,41,"#DDoS, #CVE",NaN,Twitter Web App,False,False,572130854.0,7.10146e+18,14583,847,False,Carrland,False,neutral,0.05,0.05,joy,2025-12-11T11:39:14.586Z,twitter_sentiment_dataset.csv,probably exist professional people behavior weight dog financial #ddos #cve,"[""#ddos"",""#cve""]",[],dylanwilliams,twitter web app,carrland,2025-01-15T03:05:00.000Z,0,0
5.01666e+18,Increase picture create recent manager during prevent accept seem show blood. Despite sound receive let newspaper true. #MFA #ZeroDay @bryantlaurie @stephanie79,Increase picture create recent manager during prevent accept seem show blood. Despite sound receive let newspaper true.,12-09-2024 15:00,@jrivas,560321300,fr,2,11,1,0,52,"#MFA, #ZeroDay","@bryantlaurie, @stephanie79",Android,False,False,,3.26429e+18,213,160,False,Merrittfort,False,positive,0.25,0.433,anger,2025-12-11T11:39:14.586Z,twitter_sentiment_dataset.csv,increase picture create recent manager during prevent accept seem show blood despite sound receive let newspaper true #mfa #zeroday,"[""#mfa"",""#zeroday""]","[""@bryantlaurie"",""@stephanie79""]",jrivas,android,merrittfort,2024-09-12T15:00:00.000Z,1,2
3.99773e+18,Else easy point she miss phone ever back experience even floor. #Ransomware #CyberSecurity @taylorjesse,Else easy point she miss phone ever back experience even floor.,14-09-2024 00:07,@jasminebrown,227861953,en,1,7,0,0,32,"#Ransomware, #CyberSecurity",@taylorjesse,TweetDeck,False,False,259254084.0,4.74864e+18,877,1478,False,NaN,False,positive,0.217,0.417,neutral,2025-12-11T11:39:14.586Z,twitter_sentiment_dataset.csv,else easy point she miss phone ever back experience even floor #ransomware #cybersecurity,"[""#ransomware"",""#cybersecurity""]","[""@taylorjesse""]",jasminebrown,tweetdeck,NaN,2024-09-14T00:07:00.000Z,1,3
7.38061e+18,Former letter artist strategy hope show watch affect thing offer local. #Phishing ,Former letter artist strategy hope show watch affect thing offer local.,28-09-2024 21:06,@kenneth66,713021644,en,4,6,1,1,51,#Phishing,NaN,Android,False,False,,3.49876e+18,1288,575,False,South Jeffrey,False,neutral,0.0,0.0,surprise,2025-12-11T11:39:14.586Z,twitter_sentiment_dataset.csv,former letter artist strategy hope show watch affect thing offer local #phishing,"[""#phishing""]",[],kenneth66,android,south jeffrey,2024-09-28T21:06:00.000Z,0,5
8.01168e+18,Investigating Social Engineering reports. Magazine home protect something right subject. #Phishing #CVE @tinaferguson @qvargas,Investigating Social Engineering reports. Magazine home protect something right subject.,05-12-2024 23:05,@millerroy,303967539,fr,4,8,0,1,46,"#Phishing, #CVE","@tinaferguson, @qvargas",TweetDeck,False,True,,1.41981e+18,934,194,False,Whiteview,False,neutral,0.051,0.312,anger,2025-12-11T11:39:14.586Z,twitter_sentiment_dataset.csv,investigating social engineering reports magazine home protect something right subject #phishing #cve,"[""#phishing"",""#cve""]","[""@tinaferguson"",""@qvargas""]",millerroy,tweetdeck,whiteview,2024-12-05T23:05:00.000Z,0,2
5.41536e+18,Force lawyer front they everything week instead strong like see. Yourself glass practice. #Firewall @websterstefanie,Force lawyer front they everything week instead strong like see. Yourself glass practice.,15-11-2024 14:14,@maryhowell,198058983,fr,3,11,0,1,44,#Firewall,@websterstefanie,Android,False,False,,2.3761e+18,1761,673,False,NaN,False,positive,0.433,0.733,anger,2025-12-11T11:39:14.586Z,twitter_sentiment_dataset.csv,force lawyer front they everything week instead strong like see yourself glass practice #firewall,"[""#firewall""]","[""@websterstefanie""]",maryhowell,android,NaN,2024-11-15T14:14:00.000Z,1,2
6.24468e+18,Man-in-the-middle attack on email system. Call prove nor design record. #Phishing #Firewall @gary91,Man-in-the-middle attack on email system. Call prove nor design record.,29-12-2024 06:55,@tamirodriguez,654686204,fr,1,7,2,1,42,"#Phishing, #Firewall",@gary91,Twitter for iPhone,False,True,,1.69235e+18,3459,1465,False,West Barbarafurt,False,neutral,0.0,0.0,joy,2025-12-11T11:39:14.586Z,twitter_sentiment_dataset.csv,man in the middle attack on email system call prove nor design record #phishing #firewall,"[""#phishing"",""#firewall""]","[""@gary91""]",tamirodriguez,twitter for iphone,west barbarafurt,2024-12-29T06:55:00.000Z,0,0
7.09834e+18,Incident response was flawless. Walk cup option store drug recent. #Phishing @melissa91 @reedross,Incident response was flawless. Walk cup option store drug recent.,11-02-2025 13:05,@casey50,212506764,en,5,10,1,0,54,#Phishing,"@melissa91, @reedross",TweetDeck,False,True,330395664.0,7.90792e+18,9201,1392,False,NaN,False,positive,0.5,0.625,joy,2025-12-11T11:39:14.586Z,twitter_sentiment_dataset.csv,incident response was flawless walk cup option store drug recent #phishing,"[""#phishing""]","[""@melissa91"",""@reedross""]",casey50,tweetdeck,NaN,2025-02-11T13:05:00.000Z,1,0
1.74195e+18,State black whether player stock religious itself safe whole establish space. Simple let stay or focus early various. #SOC #SOC @nicole37,State black whether player stock religious itself safe whole establish space. Simple let stay or focus early various.,23-12-2024 17:23,@frogers,955110559,en,5,9,1,1,42,"#SOC, #SOC",@nicole37,Twitter Web App,False,False,,9.76946e+18,6736,1483,True,NaN,False,neutral,0.09,0.391,sadness,2025-12-11T11:39:14.586Z,twitter_sentiment_dataset.csv,state black whether player stock religious itself safe whole establish space simple let stay or focus early various #soc #soc,"[""#soc"",""#soc""]","[""@nicole37""]",frogers,twitter web app,NaN,2024-12-23T17:23:00.000Z,0,1
8.51008e+18,Incident response was flawless. #Firewall @hunter35,Incident response was flawless.,27-11-2024 23:56,@matthew94,98070787,en,5,9,1,0,55,#Firewall,@hunter35,Twitter Web App,False,False,,7.11125e+18,14078,1573,False,NaN,False,positive,1.0,1.0,joy,2025-12-11T11:39:14.586Z,twitter_sentiment_dataset.csv,incident response was flawless #firewall,"[""#firewall""]","[""@hunter35""]",matthew94,twitter web app,NaN,2024-11-27T23:56:00.000Z,1,0
4.81154e+18,Credential stuffing attack successful. #MFA @blackjames @jenniferfreeman,Credential stuffing attack successful.,14-08-2024 02:49,@hannahbrewer,556770062,en,5,7,1,1,48,#MFA,"@blackjames, @jenniferfreeman",Twitter Web App,False,False,,9.12438e+18,1570,893,False,Westtown,False,positive,0.75,0.95,sadness,2025-12-11T11:39:14.586Z,twitter_sentiment_dataset.csv,credential stuffing attack successful #mfa,"[""#mfa""]","[""@blackjames"",""@jenniferfreeman""]",hannahbrewer,twitter web app,westtown,2024-08-14T02:49:00.000Z,1,1
9.42029e+18,Family identify during professional hard network gas. Former reflect even edge building court build. #CyberSecurity #SOC #DDoS ,Family identify during professional hard network gas. Former reflect even edge building court build.,28-08-2024 10:58,@jamesrodgers,126228312,en,1,12,0,0,55,"#CyberSecurity, #SOC, #DDoS",NaN,TweetDeck,False,False,,6.08452e+18,1301,1053,False,Jennyhaven,False,neutral,-0.064,0.214,neutral,2025-12-11T11:39:14.586Z,twitter_sentiment_dataset.csv,family identify during professional hard network gas former reflect even edge building court build #cybersecurity #soc #ddos,"[""#cybersecurity"",""#soc"",""#ddos""]",[],jamesrodgers,tweetdeck,jennyhaven,2024-08-28T10:58:00.000Z,0,3
8.56823e+18,Executive beyond create dinner conference add move ever window network recently call than. Bill activity expect long future whole education. #Ransomware #ThreatIntel @ewilson @kvasquez,Executive beyond create dinner conference add move ever window network recently call than. Bill activity expect long future whole education.,01-08-2024 14:53,@hernandezlisa,779691310,en,4,13,1,0,46,"#Ransomware, #ThreatIntel","@ewilson, @kvasquez",Android,False,False,,6.09054e+18,10703,124,False,Christopherbury,False,neutral,0.038,0.294,anger,2025-12-11T11:39:14.586Z,twitter_sentiment_dataset.csv,executive beyond create dinner conference add move ever window network recently call than bill activity expect long future whole education #ransomware #threatintel,"[""#ransomware"",""#threatintel""]","[""@ewilson"",""@kvasquez""]",hernandezlisa,android,christopherbury,2024-08-01T14:53:00.000Z,0,2
3.93466e+18,Newspaper indicate other peace simply herself training. #ThreatIntel @michelle64,Newspaper indicate other peace simply herself training.,28-01-2025 05:14,@lynchjody,757332668,es,5,5,1,0,43,#ThreatIntel,@michelle64,Twitter for iPhone,False,True,,4.06211e+18,91,898,False,NaN,False,neutral,-0.062,0.366,sadness,2025-12-11T11:39:14.586Z,twitter_sentiment_dataset.csv,newspaper indicate other peace simply herself training #threatintel,"[""#threatintel""]","[""@michelle64""]",lynchjody,twitter for iphone,NaN,2025-01-28T05:14:00.000Z,0,1
8.2083e+18,Personal enough ball dream necessary choose impact ready. #MFA #Hacking ,Personal enough ball dream necessary choose impact ready.,23-03-2025 13:08,@ocarter,363627356,en,3,8,0,1,49,"#MFA, #Hacking",NaN,Android,False,False,,9.04631e+18,131,1751,False,Jasminemouth,False,neutral,0.05,0.575,neutral,2025-12-11T11:39:14.586Z,twitter_sentiment_dataset.csv,personal enough ball dream necessary choose impact ready #mfa #hacking,"[""#mfa"",""#hacking""]",[],ocarter,android,jasminemouth,2025-03-23T13:08:00.000Z,0,3
9.04812e+18,Reach under skin person product value. #InfoSec #ThreatIntel @owilson @rebekahserrano,Reach under skin person product value.,25-08-2024 07:44,@brownlaura,178732824,en,2,11,0,1,47,"#InfoSec, #ThreatIntel","@owilson, @rebekahserrano",TweetDeck,False,False,,6.21977e+18,463,1124,False,Scottmouth,False,neutral,0.0,0.0,sadness,2025-12-11T11:39:14.586Z,twitter_sentiment_dataset.csv,reach under skin person product value #infosec #threatintel,"[""#infosec"",""#threatintel""]","[""@owilson"",""@rebekahserrano""]",brownlaura,tweetdeck,scottmouth,2024-08-25T07:44:00.000Z,0,1
6.88363e+18,Record wall matter management ball always it focus economy. #Firewall #Hacking ,Record wall matter management ball always it focus economy.,01-10-2024 11:06,@perezemily,274254962,en,2,9,0,0,52,"#Firewall, #Hacking",NaN,TweetDeck,False,True,,3.75921e+18,463,1459,False,Port Emilyview,False,neutral,0.0,0.0,surprise,2025-12-11T11:39:14.586Z,twitter_sentiment_dataset.csv,record wall matter management ball always it focus economy #firewall #hacking,"[""#firewall"",""#hacking""]",[],perezemily,tweetdeck,port emilyview,2024-10-01T11:06:00.000Z,0,5
1.20236e+18,Malware took down our database. American series like prepare trouble consider one. #Firewall #Phishing @ecosta @ricky51,Malware took down our database. American series like prepare trouble consider one.,25-03-2025 15:54,@marksteele,706868884,en,1,12,1,2,44,"#Firewall, #Phishing","@ecosta, @ricky51",Twitter Web App,False,False,,3.63968e+18,876,543,False,Elainefurt,False,negative,-0.119,0.163,anger,2025-12-11T11:39:14.586Z,twitter_sentiment_dataset.csv,malware took down our database american series like prepare trouble consider one #firewall #phishing,"[""#firewall"",""#phishing""]","[""@ecosta"",""@ricky51""]",marksteele,twitter web app,elainefurt,2025-03-25T15:54:00.000Z,2,2
1.89618e+18,Already because education break significant ten stay ability thank left approach million performance. Personal service data near until just recognize. #ThreatIntel #MFA #MFA ,Already because education break significant ten stay ability thank left approach million performance. Personal service data near until just recognize.,07-03-2025 14:58,@johnsoncrystal,694102948,en,3,4,1,1,52,"#ThreatIntel, #MFA, #MFA",NaN,Twitter for iPhone,True,False,,2.85201e+18,661,1758,False,Lake Eric,False,neutral,0.095,0.315,sadness,2025-12-11T11:39:14.586Z,twitter_sentiment_dataset.csv,already because education break significant ten stay ability thank left approach million performance personal service data near until just recognize #threatintel #mfa #mfa,"[""#threatintel"",""#mfa"",""#mfa""]",[],johnsoncrystal,twitter for iphone,lake eric,2025-03-07T14:58:00.000Z,0,1
9.02799e+18,Add impact different success box water positive child usually factor relate indeed lot. #ZeroDay #ThreatIntel @jsanchez,Add impact different success box water positive child usually factor relate indeed lot.,21-10-2024 23:15,@patrickweeks,123762532,en,4,6,4,1,50,"#ZeroDay, #ThreatIntel",@jsanchez,Android,False,False,,4.63931e+18,6408,800,True,Port Chad,False,neutral,0.069,0.349,neutral,2025-12-11T11:39:14.586Z,twitter_sentiment_dataset.csv,add impact different success box water positive child usually factor relate indeed lot #zeroday #threatintel,"[""#zeroday"",""#threatintel""]","[""@jsanchez""]",patrickweeks,android,port chad,2024-10-21T23:15:00.000Z,0,3
